"","Psychiatrists working in mental health sector (per 100,000)","Psychiatrists working in mental health sector (per 100,000)","Nurses working in mental health sector (per 100,000)","Nurses working in mental health sector (per 100,000)","Social workers working in mental health sector (per 100,000)","Social workers working in mental health sector (per 100,000)","Psychologists working in mental health sector (per 100,000)","Psychologists working in mental health sector (per 100,000)"
"Liberia","0.02","0.02","0.30","146.28","0.05","","",""
"Libya","","","5.18","","0.58","","1.04",""
"Lithuania","","17.76","","","","","",""
"Luxembourg","","21.15","","","","","",""
"Madagascar","0.06","0.05","0.35","0.4","0.02","","0.05",""
"Malawi","","0.01","","0.22","","0.01","","0.02"
"Malaysia","0.76","0.83","","3.31","0.84","","0.89","0.29"
"Maldives","3.70","1.59","0.00","40.46","0.00","0","1.14","0"
"Mali","0.04","0.04","0.08","0.26","0.01","0.11","0.01","0.02"
"Malta","","3.17","","66.83","","5.12","","4.39"
"Marshall Islands","0.00","1.58","3.79","18.93","1.90","0","0.00","0"
"Mauritania","","0.09","","1.34","","0.3","","0.15"
"Mauritius","","1.62","","9.33","","0.23","","0.08"
"Mexico","0.67","1.57","2.81","2.62","0.52","0.33","2.11","0.55"
"Micronesia (Federated States of)","","0.9","","6.3","","0","","0"
"Monaco","40.98","36.47","66.99","82.06","3.94","6.08","23.78","27.35"
"Mongolia","","0.52","","7.7","","0.15","","0.19"
"Montenegro","8.69","7.03","22.36","17.27","1.61","1.12","2.57","2.24"
"Morocco","0.45","0.9","4.10","2.33","0.03","0.01","0.05","0.04"
"Mozambique","0.05","0.04","0.72","0.19","0.01","0.02","0.34","0.24"
"Myanmar","0.29","0.09","0.25","0.19","0.01","0.01","0.00","0"
"Namibia","0.34","0.23","5.32","5.88","0.17","0.09","1.79","1.36"
"Nauru","","0","","9.75","","0","","0"
"Nepal","0.22","0.18","","0.25","","","","0.04"
"Netherlands","20.10","18.77","2.87","132.26","","","90.76","15.05"
"New Zealand","","9.76","","89.32","","","","13.78"
"Nicaragua","","0.88","","1.65","","0.38","","2.04"
"Niger","0.02","0.03","0.10","0.13","0.02","0.01","0.03","0.13"
"Nigeria","0.10","0.06","0.70","0.19","0.04","0.02","0.02","0.02"
"Niue","","0","","904.03","","0","","0"
"Norway","29.69","30.77","123.08","120.88","26.45","","54.28","0.45"
"Oman","2.32","2.31","12.71","6.57","0.26","0.07","0.38","0.17"
"Pakistan","0.31","0.19","15.43","7.38","2.32","1.7","1.09","0.26"
"Palau","","4.87","","68.19","","68.19","","0"
"Panama","3.80","3.99","5.94","2.74","3.01","","3.39",""
"Papua New Guinea","0.09","0.09","","2.9","","0.07","","0.01"
"Paraguay","2.00","0.84","4.00","3.73","0.41","0.33","3.41","2.07"
"Peru","0.76","0.57","6.09","1.86","0.22","0.05","5.06","1.71"
"Philippines","0.46","0.38","0.49","0.72","0.07","0.02","0.07","0.22"
"Poland","5.07","5.13","18.66","17.64","0.73","0.62","5.34","3.6"
"Portugal","4.49","6.14","12.46","12.13","0.70","1.01","2.24","2.11"
"Qatar","2.95","1.66","8.82","10.94","0.13","0.46","1.28","1.26"
"Republic of Korea","","5.12","","21.61","","6.01","","1.12"
"Republic of Moldova","5.92","5.03","22.07","16.61","0.23","","0.55","0.45"
"Romania","5.98","6.45","16.87","14.16","0.54","","1.41",""
"Russian Federation","11.06","11.61","33.24","46.26","1.76","1.56","2.61","5.42"
"Rwanda","","0.05","","1.3","","0.12","","0.07"
"Saint Kitts and Nevis","","1.91","","13.37","","0","","5.73"
"Saint Lucia","1.09","1.72","26.14","17.25","1.09","0","","3.45"
"Saint Vincent and the Grenadines","0.91","1.83","17.37","10.07","1.83","0.92","3.66","0"
"Samoa","0.52","0.56","2.09","1.68","0.52","0","0.00","0"
"San Marino","15.80","15.85","12.64","15.85","9.48","9.51","9.48",""
"Sao Tome and Principe","0.51","0.6","","4.84","0.51","0.6","1.52","0.6"
"Saudi Arabia","2.14","2.91","10.49","13.41","2.47","2.9","1.38","1.66"
"Senegal","0.14","0.33","0.34","0.79","0.06","0.1","0.02","0.03"
"Serbia","7.35","9.61","12.22","15.98","0.90","1.17","1.30","1.7"
"Seychelles","2.14","2.36","12.86","20.09","0.00","1.18","4.29","2.36"
"Sierra Leone","0.03","0.02","1.31","0.09","","0","","0"
"Singapore","3.48","2.81","17.73","","1.04","","1.23",""
"Slovakia","","11.48","","19.27","","","",""
"Slovenia","10.21","7.06","89.57","69.68","1.49","3.75","3.61","4.54"
"Solomon Islands","0.18","0.19","8.38","1.12","0.00","","0.00",""
"Somalia","","0.04","","0.45","","0.96","","0"
"South Africa","0.39","0.27","","9.72","","0.39","","0.31"
"South Sudan","0.03","","0.09","","","","0.02",""
"Spain","8.08","8.59","9.69","6.57","2.60","","5.71",""
"Sri Lanka","0.36","0.29","2.74","2.92","0.17","0.33","0.12","0.09"
"Sudan","","0.06","","0.1","","0.6","","0.48"
"Suriname","1.47","1.14","42.10","12.21","0.00","0.76","0.55","0.57"
"Sweden","18.31","3.55","52.90","28.9","","18.42","","0.93"
"Switzerland","","41.42","","","","","","40.78"
"Syrian Arab Republic","","0.31","0.83","1.21","0.05","0.12","0.12","0.1"
"Tajikistan","2.16","1.36","7.14","4.17","0.00","0.06","0.01","0.01"
"Thailand","0.87","0.44","4.46","3.38","0.34","0.62","0.72","0.44"
"The former Yugoslav republic of Macedonia","","9.98","","26.92","","0.83","","1.47"
"Timor-Leste","0.26","0.17","1.65","1.28","0.09","","0.09",""
"Togo","0.04","0.03","0.01","0.59","0.07","0.07","0.89","0.29"
"Tonga","0.95","1.92","10.40","6.71","0.00","0.96","0.95","0.96"
"Trinidad and Tobago","3.12","0.67","56.61","33.34","3.05","2.23","0.00","0.67"
"Tunisia","2.58","1.98","","4.08","0.35","0.31","1.06","1.12"
"Turkey","1.51","2.13","","2.22","0.77","0.76","1.43","1.62"
"Uganda","","0.09","","0.76","","","","0.02"
"Ukraine","","10.11","","29.73","","0.69","","1.15"
"United Arab Emirates","","0.3","","2.12","","0.25","","0.51"
"United Kingdom of Great Britain and Northern Ireland","14.63","","67.35","","1.99","","12.83",""
"United Republic of Tanzania","0.01","0.04","0.23","","0.00","0.01","0.00","0.01"
"United States of America","12.40","7.79","4.25","3.07","59.83","17.93","29.62","29.03"
"Uruguay","16.91","","","","","","",""
"Uzbekistan","2.68","3.37","8.96","8.79","","","0.02","0.08"
"Vanuatu","0.39","0","2.32","4.88","","","","0.81"
"Viet Nam","0.91","1.01","2.92","75.34","0.00","0","0.09","0.03"
"Yemen","","0.21","","0.13","","0.09","","0.17"
"Zambia","0.05","0.03","1.07","1.36","0.01","0.15","0.03","0.02"
"Zimbabwe","0.08","0.06","2.80","2.86","0.10","0.07","0.04","0.04"
