,bikenum,sum,week,count
99,W00563,4323,2017-12-18 00:00:00-05:00,4
100,W00563,15511,2017-12-25 00:00:00-05:00,3
101,W00563,2383,2018-01-01 00:00:00-05:00,2
102,W00563,11591,2018-01-08 00:00:00-05:00,5
103,W00563,19842,2018-01-15 00:00:00-05:00,7
104,W00563,15649,2018-01-22 00:00:00-05:00,4
105,W00563,15704,2018-01-29 00:00:00-05:00,5
106,W00563,13325,2018-02-05 00:00:00-05:00,7
107,W00563,41569,2018-02-12 00:00:00-05:00,6
108,W00563,4551,2018-02-19 00:00:00-05:00,4
109,W00563,11191,2018-02-26 00:00:00-05:00,6
110,W00563,23696,2018-03-05 00:00:00-05:00,7
111,W00563,29469,2018-03-12 00:00:00-04:00,6
112,W00563,21055,2018-03-19 00:00:00-04:00,6
113,W00563,33496,2018-03-26 00:00:00-04:00,7
114,W00563,64318,2018-04-02 00:00:00-04:00,7
115,W00563,40088,2018-04-09 00:00:00-04:00,6
116,W00563,8824,2018-04-16 00:00:00-04:00,5
117,W00563,15240,2018-04-23 00:00:00-04:00,4
118,W00563,27380,2018-04-30 00:00:00-04:00,5
119,W00563,29478,2018-05-07 00:00:00-04:00,5
120,W00563,15202,2018-05-14 00:00:00-04:00,7
121,W00563,13938,2018-05-21 00:00:00-04:00,4
122,W00563,5027,2018-05-28 00:00:00-04:00,3
123,W00563,56680,2018-06-04 00:00:00-04:00,7
124,W00563,41399,2018-06-11 00:00:00-04:00,7
125,W00563,47220,2018-06-18 00:00:00-04:00,5
126,W00563,45608,2018-06-25 00:00:00-04:00,6
127,W00563,46807,2018-07-02 00:00:00-04:00,7
128,W00563,74751,2018-07-09 00:00:00-04:00,7
129,W00563,42513,2018-07-16 00:00:00-04:00,7
130,W00563,58380,2018-07-23 00:00:00-04:00,7
131,W00563,49388,2018-07-30 00:00:00-04:00,7
132,W00563,54679,2018-08-06 00:00:00-04:00,6
133,W00563,57589,2018-08-13 00:00:00-04:00,7
134,W00563,20504,2018-08-20 00:00:00-04:00,5
135,W00563,12491,2018-08-27 00:00:00-04:00,3
136,W00563,706,2018-09-03 00:00:00-04:00,1
137,W00563,28790,2018-09-10 00:00:00-04:00,5
138,W00563,39503,2018-09-17 00:00:00-04:00,7
139,W00563,54872,2018-09-24 00:00:00-04:00,7
140,W20530,752,2016-01-04 00:00:00-05:00,1
141,W20530,15278,2016-01-11 00:00:00-05:00,6
142,W20530,3283,2016-01-18 00:00:00-05:00,2
143,W20530,9855,2016-01-25 00:00:00-05:00,4
144,W20530,6441,2016-02-01 00:00:00-05:00,4
145,W20530,14272,2016-02-08 00:00:00-05:00,5
146,W20530,21628,2016-02-15 00:00:00-05:00,5
147,W20530,3767,2016-02-22 00:00:00-05:00,3
148,W20530,9374,2016-02-29 00:00:00-05:00,4
149,W20530,32833,2016-03-07 00:00:00-05:00,6
150,W20530,37875,2016-03-14 00:00:00-04:00,6
151,W20530,39388,2016-03-21 00:00:00-04:00,6
152,W20530,19541,2016-03-28 00:00:00-04:00,5
153,W20530,4757,2016-04-04 00:00:00-04:00,1
154,W20530,19905,2016-04-11 00:00:00-04:00,4
155,W20530,17024,2016-04-18 00:00:00-04:00,3
156,W20530,38211,2016-04-25 00:00:00-04:00,5
157,W20530,15933,2016-05-02 00:00:00-04:00,4
158,W20530,29521,2016-05-09 00:00:00-04:00,7
159,W20530,3719,2016-05-16 00:00:00-04:00,2
160,W20530,66357,2016-05-23 00:00:00-04:00,6
161,W20530,44005,2016-05-30 00:00:00-04:00,6
162,W20530,4005,2016-06-06 00:00:00-04:00,2
163,W20530,54070,2016-06-13 00:00:00-04:00,7
164,W20530,42082,2016-06-20 00:00:00-04:00,6
165,W20530,65949,2016-06-27 00:00:00-04:00,7
166,W20530,18200,2016-07-04 00:00:00-04:00,3
167,W20530,22514,2016-07-11 00:00:00-04:00,4
168,W20530,30336,2016-07-18 00:00:00-04:00,7
169,W20530,16584,2016-07-25 00:00:00-04:00,7
170,W20530,34216,2016-08-01 00:00:00-04:00,6
171,W20530,59507,2016-08-08 00:00:00-04:00,6
172,W20530,45591,2016-08-15 00:00:00-04:00,6
173,W20530,4814,2016-08-22 00:00:00-04:00,2
174,W20530,11287,2016-09-05 00:00:00-04:00,3
175,W20530,30416,2016-09-12 00:00:00-04:00,5
176,W20530,35864,2016-09-19 00:00:00-04:00,6
177,W20530,6129,2016-09-26 00:00:00-04:00,3
178,W20530,38316,2016-10-03 00:00:00-04:00,6
179,W20530,56445,2016-10-10 00:00:00-04:00,7
180,W20530,30074,2016-10-17 00:00:00-04:00,5
181,W20530,46588,2016-10-24 00:00:00-04:00,6
182,W20530,17901,2016-10-31 00:00:00-04:00,5
183,W20530,16073,2016-11-14 00:00:00-05:00,4
184,W20530,10479,2016-11-21 00:00:00-05:00,5
185,W20530,15786,2016-11-28 00:00:00-05:00,3
186,W20530,10055,2016-12-05 00:00:00-05:00,3
187,W20530,15942,2016-12-12 00:00:00-05:00,7
188,W20530,11236,2016-12-19 00:00:00-05:00,5
189,W20530,30622,2016-12-26 00:00:00-05:00,3
190,W20530,6802,2017-01-02 00:00:00-05:00,3
191,W20530,30756,2017-01-09 00:00:00-05:00,5
192,W20530,31605,2017-01-16 00:00:00-05:00,7
193,W20530,19947,2017-01-23 00:00:00-05:00,7
194,W20530,8988,2017-01-30 00:00:00-05:00,3
195,W20530,16497,2017-02-06 00:00:00-05:00,7
196,W20530,28816,2017-02-13 00:00:00-05:00,6
197,W20530,20298,2017-02-20 00:00:00-05:00,5
198,W20530,14306,2017-02-27 00:00:00-05:00,6
199,W20530,8635,2017-03-06 00:00:00-05:00,6
200,W20530,35789,2017-03-13 00:00:00-04:00,7
201,W20530,42557,2017-03-20 00:00:00-04:00,7
202,W20530,13807,2017-03-27 00:00:00-04:00,2
203,W20530,26620,2017-04-03 00:00:00-04:00,6
204,W20530,30748,2017-04-10 00:00:00-04:00,5
205,W20530,18526,2017-04-17 00:00:00-04:00,5
206,W20530,34761,2017-04-24 00:00:00-04:00,3
207,W20530,21251,2017-05-01 00:00:00-04:00,7
208,W20530,17800,2017-05-08 00:00:00-04:00,5
209,W20530,15212,2017-05-15 00:00:00-04:00,2
210,W20530,6224,2017-05-22 00:00:00-04:00,3
211,W20530,18378,2017-05-29 00:00:00-04:00,4
212,W20530,45847,2017-06-05 00:00:00-04:00,7
213,W20530,45615,2017-06-12 00:00:00-04:00,5
214,W20530,20131,2017-06-19 00:00:00-04:00,7
215,W20530,36605,2017-06-26 00:00:00-04:00,7
216,W20530,36983,2017-07-03 00:00:00-04:00,5
217,W20530,37512,2017-07-10 00:00:00-04:00,6
218,W20530,59927,2017-07-17 00:00:00-04:00,7
219,W20530,6247,2017-07-24 00:00:00-04:00,3
220,W20530,15367,2017-07-31 00:00:00-04:00,6
221,W20530,4603,2017-08-07 00:00:00-04:00,2
222,W20530,1539,2017-08-14 00:00:00-04:00,3
223,W20530,6697,2017-08-21 00:00:00-04:00,1
224,W20530,6403,2017-08-28 00:00:00-04:00,4
225,W20530,25073,2017-09-04 00:00:00-04:00,6
226,W20530,77639,2017-09-11 00:00:00-04:00,7
227,W20530,33994,2017-09-18 00:00:00-04:00,5
228,W20530,25489,2017-09-25 00:00:00-04:00,6
229,W20530,35916,2017-10-02 00:00:00-04:00,6
230,W20530,40564,2017-10-09 00:00:00-04:00,7
231,W20530,51359,2017-10-16 00:00:00-04:00,7
232,W20530,16344,2017-10-23 00:00:00-04:00,7
233,W20530,11073,2017-10-30 00:00:00-04:00,5
234,W20530,27268,2017-11-06 00:00:00-05:00,7
235,W20530,29798,2017-11-13 00:00:00-05:00,7
236,W20530,16713,2017-11-20 00:00:00-05:00,5
237,W20530,20757,2017-11-27 00:00:00-05:00,7
238,W20530,9084,2017-12-04 00:00:00-05:00,5
239,W20530,10290,2017-12-11 00:00:00-05:00,6
240,W20530,13301,2017-12-18 00:00:00-05:00,6
241,W20530,3111,2017-12-25 00:00:00-05:00,5
242,W20530,4940,2018-01-01 00:00:00-05:00,5
243,W20530,580,2018-01-08 00:00:00-05:00,1
244,W20530,10228,2018-01-15 00:00:00-05:00,4
245,W20530,21395,2018-01-22 00:00:00-05:00,6
246,W20530,16727,2018-01-29 00:00:00-05:00,7
247,W20530,4504,2018-02-05 00:00:00-05:00,4
248,W20530,8407,2018-02-12 00:00:00-05:00,5
249,W20530,29520,2018-02-19 00:00:00-05:00,7
250,W20530,15463,2018-02-26 00:00:00-05:00,7
251,W20530,13405,2018-03-05 00:00:00-05:00,5
252,W20530,16233,2018-03-12 00:00:00-04:00,6
